"";"education";"ocupation";"area";"age group";"recomendation";"firma";"score";"detractor";"neutral";"promoter";"total"
"18";"Œrednie ogólne";"Agronom ekspert";"100.01 - 250 ha";"51 - 60";9;"Arnika";"Promoter";0;0;1;1
"19";"Œrednie techniczne";"W³aœciciel";"50.01 - 100 ha";"powy¿ej 60";8;"Arnika";"Neutral";0;1;0;1
"20";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"powy¿ej 60";9;"Arnika";"Promoter";0;0;1;1
"21";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 30";10;"Arnika";"Promoter";0;0;1;1
"22";"Œrednie ogólne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"23";"Œrednie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"powy¿ej 60";7;"Arnika";"Neutral";0;1;0;1
"24";"Œrednie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";9;"Arnika";"Promoter";0;0;1;1
"25";"Œrednie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";3;"Arnika";"Detractor";1;0;0;1
"26";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"27";"Œrednie techniczne";"Pracownik techniczny";"mniej ni¿ 25 ha";"51 - 60";8;"Arnika";"Neutral";0;1;0;1
"28";"Œrednie ogólne";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"51 - 60";10;"Arnika";"Promoter";0;0;1;1
"29";"Œrednie ogólne";"Pracownik techniczny";"mniej ni¿ 25 ha";"51 - 60";8;"Arnika";"Neutral";0;1;0;1
"30";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 30";10;"Arnika";"Promoter";0;0;1;1
"31";"Œrednie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"powy¿ej 60";9;"Arnika";"Promoter";0;0;1;1
"32";"Wy¿sze rolnicze";"W³aœciciel";"mniej ni¿ 25 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"33";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"51 - 60";3;"Arnika";"Detractor";1;0;0;1
"34";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"35";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
"36";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"powy¿ej 60";7;"Arnika";"Neutral";0;1;0;1
"37";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";7;"Arnika";"Neutral";0;1;0;1
"38";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"39";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"51 - 60";5;"Arnika";"Detractor";1;0;0;1
"40";"Œrednie techniczne";"Agronom ekspert";"25.01 - 50 ha";"51 - 60";1;"Arnika";"Detractor";1;0;0;1
"41";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"41 - 50";4;"Arnika";"Detractor";1;0;0;1
"42";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"43";"Œrednie techniczne";"Agronom ekspert";"100.01 - 250 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"44";"Œrednie techniczne";"Agronom ekspert";"25.01 - 50 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"45";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"46";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"powy¿ej 60";9;"Arnika";"Promoter";0;0;1;1
"47";"Œrednie ogólne";"G³ówny agronom";"100.01 - 250 ha";"51 - 60";10;"Arnika";"Promoter";0;0;1;1
"48";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"49";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";5;"Arnika";"Detractor";1;0;0;1
"50";"Œrednie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
"51";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"52";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";8;"Arnika";"Neutral";0;1;0;1
"53";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"54";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"31 - 40";6;"Arnika";"Detractor";1;0;0;1
"55";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"56";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";9;"Arnika";"Promoter";0;0;1;1
"57";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"41 - 50";10;"Arnika";"Promoter";0;0;1;1
"58";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"59";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"31 - 40";3;"Arnika";"Detractor";1;0;0;1
"60";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"51 - 60";4;"Arnika";"Detractor";1;0;0;1
"61";"Wy¿sze rolnicze";"W³aœciciel";"mniej ni¿ 25 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"62";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"powy¿ej 60";10;"Arnika";"Promoter";0;0;1;1
"63";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";4;"Arnika";"Detractor";1;0;0;1
"64";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"65";"Œrednie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"66";"Œrednie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej ni¿ 30";4;"Arnika";"Detractor";1;0;0;1
"67";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"68";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";7;"Arnika";"Neutral";0;1;0;1
"69";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"41 - 50";6;"Arnika";"Detractor";1;0;0;1
"70";"Œrednie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"71";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"72";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"31 - 40";5;"Arnika";"Detractor";1;0;0;1
"73";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"74";"Œrednie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"mniej ni¿ 30";8;"Arnika";"Neutral";0;1;0;1
"75";"Œrednie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej ni¿ 30";9;"Arnika";"Promoter";0;0;1;1
"76";"Œrednie techniczne";"W³aœciciel";"50.01 - 100 ha";"41 - 50";4;"Arnika";"Detractor";1;0;0;1
"77";"Œrednie ogólne";"G³ówny agronom";"mniej ni¿ 25 ha";"31 - 40";3;"Arnika";"Detractor";1;0;0;1
"78";"Œrednie ogólne";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"51 - 60";7;"Arnika";"Neutral";0;1;0;1
"80";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"51 - 60";10;"Arnika";"Promoter";0;0;1;1
"81";"Wy¿sze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"31 - 40";5;"Arnika";"Detractor";1;0;0;1
"82";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"41 - 50";8;"Arnika";"Neutral";0;1;0;1
"83";"Wy¿sze rolnicze";"Pracownik techniczny";"25.01 - 50 ha";"mniej ni¿ 30";0;"Arnika";"Detractor";1;0;0;1
"84";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";1;"Arnika";"Detractor";1;0;0;1
"85";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"powy¿ej 60";3;"Arnika";"Detractor";1;0;0;1
"86";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"mniej ni¿ 30";10;"Arnika";"Promoter";0;0;1;1
"87";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"powy¿ej 60";2;"Arnika";"Detractor";1;0;0;1
"88";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"51 - 60";10;"Arnika";"Promoter";0;0;1;1
"89";"Œrednie techniczne";"G³ówny agronom";"50.01 - 100 ha";"powy¿ej 60";10;"Arnika";"Promoter";0;0;1;1
"90";"Œrednie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";5;"Arnika";"Detractor";1;0;0;1
"91";"Wy¿sze rolnicze";"W³aœciciel";"wiêcej ni¿ 250 ha";"51 - 60";4;"Arnika";"Detractor";1;0;0;1
"92";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powy¿ej 60";5;"Arnika";"Detractor";1;0;0;1
"93";"Wy¿sze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"31 - 40";5;"Arnika";"Detractor";1;0;0;1
"94";"Wy¿sze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"powy¿ej 60";5;"Arnika";"Detractor";1;0;0;1
"95";"Wy¿sze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"96";"Wy¿sze rolnicze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"97";"Wy¿sze rolnicze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"98";"Œrednie ogólne";"G³ówny agronom";"50.01 - 100 ha";"powy¿ej 60";3;"Arnika";"Detractor";1;0;0;1
"99";"Wy¿sze";"Pracownik techniczny";"25.01 - 50 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"100";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"powy¿ej 60";10;"Arnika";"Promoter";0;0;1;1
"101";"Œrednie techniczne";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"powy¿ej 60";8;"Arnika";"Neutral";0;1;0;1
"102";"Œrednie ogólne";"G³ówny agronom";"50.01 - 100 ha";"mniej ni¿ 30";2;"Arnika";"Detractor";1;0;0;1
"103";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"104";"Œrednie ogólne";"Agronom ekspert";"100.01 - 250 ha";"powy¿ej 60";5;"Arnika";"Detractor";1;0;0;1
"105";"Wy¿sze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powy¿ej 60";6;"Arnika";"Detractor";1;0;0;1
"106";"Wy¿sze";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"107";"Wy¿sze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";2;"Arnika";"Detractor";1;0;0;1
"108";"Œrednie ogólne";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"51 - 60";0;"Arnika";"Detractor";1;0;0;1
"109";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"51 - 60";9;"Arnika";"Promoter";0;0;1;1
"110";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"powy¿ej 60";4;"Arnika";"Detractor";1;0;0;1
"111";"Œrednie techniczne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"112";"Wy¿sze rolnicze";"Agronom ekspert";"25.01 - 50 ha";"powy¿ej 60";3;"Arnika";"Detractor";1;0;0;1
"113";"Œrednie techniczne";"W³aœciciel";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";1;"Arnika";"Detractor";1;0;0;1
"114";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"41 - 50";0;"Arnika";"Detractor";1;0;0;1
"115";"Inne";"Pracownik techniczny";"50.01 - 100 ha";"mniej ni¿ 30";5;"Arnika";"Detractor";1;0;0;1
"116";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"41 - 50";5;"Arnika";"Detractor";1;0;0;1
"117";"Œrednie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"powy¿ej 60";0;"Arnika";"Detractor";1;0;0;1
"118";"Œrednie ogólne";"Agronom ekspert";"100.01 - 250 ha";"powy¿ej 60";0;"Arnika";"Detractor";1;0;0;1
"119";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";9;"Arnika";"Promoter";0;0;1;1
"120";"Wy¿sze rolnicze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
"121";"Œrednie techniczne";"G³ówny agronom";"25.01 - 50 ha";"powy¿ej 60";5;"Arnika";"Detractor";1;0;0;1
"122";"Wy¿sze";"W³aœciciel";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";3;"Arnika";"Detractor";1;0;0;1
"123";"Wy¿sze";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";5;"Arnika";"Detractor";1;0;0;1
"124";"Wy¿sze";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"51 - 60";4;"Arnika";"Detractor";1;0;0;1
"126";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"powy¿ej 60";1;"Arnika";"Detractor";1;0;0;1
"127";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"51 - 60";3;"Arnika";"Detractor";1;0;0;1
"128";"Œrednie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";0;"Arnika";"Detractor";1;0;0;1
"129";"Wy¿sze rolnicze";"G³ówny agronom";"50.01 - 100 ha";"powy¿ej 60";3;"Arnika";"Detractor";1;0;0;1
"130";"Œrednie techniczne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"31 - 40";0;"Arnika";"Detractor";1;0;0;1
"131";"Œrednie techniczne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"132";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"powy¿ej 60";9;"Arnika";"Promoter";0;0;1;1
"133";"Wy¿sze rolnicze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";1;"Arnika";"Detractor";1;0;0;1
"134";"Wy¿sze rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powy¿ej 60";3;"Arnika";"Detractor";1;0;0;1
"135";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"powy¿ej 60";5;"Arnika";"Detractor";1;0;0;1
"136";"Œrednie techniczne";"W³aœciciel";"wiêcej ni¿ 250 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"138";"Wy¿sze rolnicze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"139";"Wy¿sze rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powy¿ej 60";7;"Arnika";"Neutral";0;1;0;1
"140";"Wy¿sze";"Pracownik techniczny";"100.01 - 250 ha";"powy¿ej 60";2;"Arnika";"Detractor";1;0;0;1
"142";"Wy¿sze rolnicze";"G³ówny agronom";"100.01 - 250 ha";"41 - 50";4;"Arnika";"Detractor";1;0;0;1
"143";"Wy¿sze rolnicze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";0;"Arnika";"Detractor";1;0;0;1
"144";"Œrednie techniczne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";0;"Arnika";"Detractor";1;0;0;1
"145";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"146";"Wy¿sze";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";1;"Arnika";"Detractor";1;0;0;1
"147";"Wy¿sze rolnicze";"Inna";"wiêcej ni¿ 250 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"148";"Wy¿sze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"51 - 60";9;"Arnika";"Promoter";0;0;1;1
"149";"Wy¿sze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"31 - 40";3;"Arnika";"Detractor";1;0;0;1
"150";"Wy¿sze rolnicze";"G³ówny agronom";"100.01 - 250 ha";"powy¿ej 60";2;"Arnika";"Detractor";1;0;0;1
"151";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"powy¿ej 60";8;"Arnika";"Neutral";0;1;0;1
"152";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"31 - 40";1;"Arnika";"Detractor";1;0;0;1
"153";"Œrednie techniczne";"G³ówny agronom";"25.01 - 50 ha";"powy¿ej 60";4;"Arnika";"Detractor";1;0;0;1
"154";"Wy¿sze rolnicze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"41 - 50";5;"Arnika";"Detractor";1;0;0;1
"155";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powy¿ej 60";7;"Arnika";"Neutral";0;1;0;1
"156";"Œrednie ogólne";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"powy¿ej 60";7;"Arnika";"Neutral";0;1;0;1
"157";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"powy¿ej 60";7;"Arnika";"Neutral";0;1;0;1
"158";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"41 - 50";5;"Arnika";"Detractor";1;0;0;1
"159";"Œrednie techniczne";"W³aœciciel";"25.01 - 50 ha";"41 - 50";1;"Arnika";"Detractor";1;0;0;1
"160";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"powy¿ej 60";2;"Arnika";"Detractor";1;0;0;1
"161";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powy¿ej 60";8;"Arnika";"Neutral";0;1;0;1
"162";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"51 - 60";10;"Arnika";"Promoter";0;0;1;1
"163";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";1;"Arnika";"Detractor";1;0;0;1
"164";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"powy¿ej 60";6;"Arnika";"Detractor";1;0;0;1
"165";"Wy¿sze rolnicze";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";1;"Arnika";"Detractor";1;0;0;1
"166";"Œrednie techniczne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"powy¿ej 60";7;"Arnika";"Neutral";0;1;0;1
"167";"Wy¿sze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"powy¿ej 60";10;"Arnika";"Promoter";0;0;1;1
"168";"Wy¿sze";"Agronom ekspert";"mniej ni¿ 25 ha";"41 - 50";3;"Arnika";"Detractor";1;0;0;1
"169";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"41 - 50";8;"Arnika";"Neutral";0;1;0;1
"170";"Wy¿sze";"Agronom ekspert";"50.01 - 100 ha";"powy¿ej 60";3;"Arnika";"Detractor";1;0;0;1
"171";"Œrednie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";8;"Arnika";"Neutral";0;1;0;1
"172";"Wy¿sze";"G³ówny agronom";"100.01 - 250 ha";"mniej ni¿ 30";8;"Arnika";"Neutral";0;1;0;1
"174";"Œrednie ogólne";"G³ówny agronom";"100.01 - 250 ha";"powy¿ej 60";3;"Arnika";"Detractor";1;0;0;1
"175";"Wy¿sze rolnicze";"W³aœciciel";"25.01 - 50 ha";"powy¿ej 60";9;"Arnika";"Promoter";0;0;1;1
"176";"Wy¿sze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"177";"Wy¿sze";"G³ówny agronom";"100.01 - 250 ha";"powy¿ej 60";9;"Arnika";"Promoter";0;0;1;1
"178";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"41 - 50";3;"Arnika";"Detractor";1;0;0;1
"179";"Œrednie ogólne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"41 - 50";10;"Arnika";"Promoter";0;0;1;1
"180";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"powy¿ej 60";9;"Arnika";"Promoter";0;0;1;1
"181";"Œrednie techniczne";"Agronom ekspert";"mniej ni¿ 25 ha";"powy¿ej 60";8;"Arnika";"Neutral";0;1;0;1
"182";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"51 - 60";1;"Arnika";"Detractor";1;0;0;1
"183";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"184";"Wy¿sze rolnicze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";6;"Arnika";"Detractor";1;0;0;1
"185";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
"186";"Œrednie techniczne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";8;"Arnika";"Neutral";0;1;0;1
"187";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"powy¿ej 60";3;"Arnika";"Detractor";1;0;0;1
"188";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"51 - 60";3;"Arnika";"Detractor";1;0;0;1
"189";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"31 - 40";5;"Arnika";"Detractor";1;0;0;1
"191";"Œrednie ogólne";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"31 - 40";3;"Arnika";"Detractor";1;0;0;1
"192";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";2;"Arnika";"Detractor";1;0;0;1
"193";"Wy¿sze rolnicze";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";1;"Arnika";"Detractor";1;0;0;1
"194";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"51 - 60";7;"Arnika";"Neutral";0;1;0;1
"195";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"mniej ni¿ 30";1;"Arnika";"Detractor";1;0;0;1
"196";"Œrednie techniczne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"41 - 50";0;"Arnika";"Detractor";1;0;0;1
"197";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"51 - 60";5;"Babka";"Detractor";1;0;0;1
"198";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"31 - 40";5;"Babka";"Detractor";1;0;0;1
"199";"Œrednie ogólne";"G³ówny agronom";"100.01 - 250 ha";"mniej ni¿ 30";5;"Babka";"Detractor";1;0;0;1
"200";"Œrednie ogólne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";4;"Babka";"Detractor";1;0;0;1
"201";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"31 - 40";9;"Babka";"Promoter";0;0;1;1
"202";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"mniej ni¿ 30";0;"Babka";"Detractor";1;0;0;1
"203";"Wy¿sze";"G³ówny agronom";"100.01 - 250 ha";"41 - 50";7;"Babka";"Neutral";0;1;0;1
"204";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"41 - 50";7;"Babka";"Neutral";0;1;0;1
"205";"Œrednie techniczne";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";5;"Babka";"Detractor";1;0;0;1
"206";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"31 - 40";10;"Babka";"Promoter";0;0;1;1
